instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,user_count,dayname,weather,season_name,atemp_celcius,suhu
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Jumat,"Cerah, Berawan",Spring,21.4329,Dingin
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Sabtu,"Cerah, Berawan",Spring,25.599149999999998,Normal
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Minggu,"Cerah, Berawan",Spring,19.5702,Dingin
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Senin,"Cerah, Berawan",Spring,13.8665,Sangat dingin
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Selasa,Berkabut,Spring,14.203750000000001,Sangat dingin
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Rabu,"Cerah, Berawan",Spring,9.30165,Sangat dingin
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Kamis,"Cerah, Berawan",Spring,12.28585,Sangat dingin
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Jumat,Berkabut,Spring,14.459549999999998,Sangat dingin
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Sabtu,Berkabut,Spring,17.52305,Dingin
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Minggu,"Cerah, Berawan",Spring,14.1096,Sangat dingin
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Senin,"Cerah, Berawan",Spring,17.55545,Dingin
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Selasa,Berkabut,Spring,20.005899999999997,Dingin
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Rabu,"Cerah, Berawan",Spring,13.19395,Sangat dingin
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Kamis,"Cerah, Berawan",Spring,16.00355,Dingin
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Jumat,"Cerah, Berawan",Spring,10.00665,Sangat dingin
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Sabtu,Berkabut,Spring,12.783949999999999,Sangat dingin
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Minggu,Berkabut,Spring,18.93895,Dingin
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Senin,Berkabut,Spring,18.3126,Dingin
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Selasa,"Cerah, Berawan",Spring,11.92305,Sangat dingin
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Rabu,"Cerah, Berawan",Spring,15.120000000000001,Dingin
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Kamis,Berkabut,Spring,14.3304,Sangat dingin
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Jumat,"Hujan, Salju",Spring,19.2834,Dingin
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Sabtu,Berkabut,Spring,15.25,Dingin
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Minggu,"Cerah, Berawan",Spring,16.287499999999998,Dingin
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Senin,"Cerah, Berawan",Spring,19.004550000000002,Dingin
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Selasa,"Cerah, Berawan",Spring,16.6,Dingin
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Rabu,Berkabut,Spring,15.908900000000001,Dingin
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Kamis,Berkabut,Spring,18.3465,Dingin
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Jumat,"Cerah, Berawan",Spring,20.51665,Dingin
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Sabtu,"Cerah, Berawan",Spring,26.35045,Normal
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Minggu,"Cerah, Berawan",Spring,23.32625,Normal
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Senin,"Cerah, Berawan",Spring,16.287499999999998,Dingin
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Selasa,Berkabut,Summer,20.48675,Dingin
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Rabu,"Cerah, Berawan",Summer,22.0321,Dingin
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Kamis,Berkabut,Summer,16.89695,Dingin
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Jumat,Berkabut,Summer,13.541649999999999,Sangat dingin
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Sabtu,"Cerah, Berawan",Summer,12.8156,Sangat dingin
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Minggu,"Cerah, Berawan",Summer,12.87855,Sangat dingin
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Senin,Berkabut,Summer,12.51695,Sangat dingin
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Selasa,"Cerah, Berawan",Summer,12.878700000000002,Sangat dingin
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Rabu,"Cerah, Berawan",Summer,14.6454,Sangat dingin
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Kamis,Berkabut,Summer,14.8675,Sangat dingin
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Jumat,"Hujan, Salju",Summer,12.87875,Sangat dingin
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Sabtu,Berkabut,Summer,14.172699999999999,Sangat dingin
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Minggu,Berkabut,Summer,15.78185,Dingin
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Senin,"Cerah, Berawan",Summer,18.93835,Dingin
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Selasa,"Cerah, Berawan",Summer,27.14645,Normal
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Rabu,Berkabut,Summer,19.9175,Dingin
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Kamis,"Cerah, Berawan",Summer,19.3804,Dingin
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Jumat,"Cerah, Berawan",Summer,21.684800000000003,Dingin
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Sabtu,Berkabut,Summer,16.223950000000002,Dingin
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Minggu,Berkabut,Summer,17.07645,Dingin
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Senin,Berkabut,Summer,21.33685,Dingin
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Selasa,Berkabut,Summer,28.260849999999998,Normal
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Rabu,Berkabut,Summer,24.6527,Normal
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Kamis,Berkabut,Summer,20.864150000000002,Dingin
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Jumat,"Cerah, Berawan",Summer,23.1371,Normal
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Sabtu,"Cerah, Berawan",Summer,22.09565,Dingin
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Minggu,"Hujan, Salju",Summer,21.2746,Dingin
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Senin,"Cerah, Berawan",Summer,22.2848,Dingin
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Selasa,"Cerah, Berawan",Summer,25.1573,Normal
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Rabu,Berkabut,Summer,24.4629,Normal
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Kamis,"Cerah, Berawan",Summer,28.2196,Normal
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Jumat,"Cerah, Berawan",Summer,22.6946,Dingin
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Sabtu,Berkabut,Summer,16.0977,Dingin
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Minggu,Berkabut,Summer,22.50605,Dingin
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Senin,Berkabut,Summer,27.58815,Normal
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Selasa,"Cerah, Berawan",Summer,28.725,Normal
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Rabu,"Cerah, Berawan",Summer,29.704150000000002,Normal
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Kamis,Berkabut,Summer,28.7571,Normal
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Jumat,Berkabut,Summer,28.946450000000002,Normal
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Sabtu,"Cerah, Berawan",Summer,24.87315,Normal
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Minggu,"Cerah, Berawan",Summer,23.201050000000002,Normal
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Senin,Berkabut,Summer,22.4102,Dingin
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Selasa,Berkabut,Summer,26.64165,Normal
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Rabu,Berkabut,Summer,29.10395,Normal
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Kamis,Berkabut,Summer,20.2325,Dingin
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Jumat,"Cerah, Berawan",Summer,22.09585,Dingin
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Sabtu,"Cerah, Berawan",Summer,23.70585,Normal
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Minggu,"Cerah, Berawan",Summer,25.63105,Normal
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Senin,"Cerah, Berawan",Summer,25.946649999999998,Normal
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Selasa,"Cerah, Berawan",Summer,26.2623,Normal
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Rabu,"Cerah, Berawan",Summer,26.13605,Normal
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Kamis,"Cerah, Berawan",Summer,26.419999999999998,Normal
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Jumat,"Cerah, Berawan",Summer,26.16815,Normal
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Sabtu,Berkabut,Summer,24.715,Normal
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Minggu,Berkabut,Summer,25.03145,Normal
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Senin,Berkabut,Summer,26.8,Normal
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Selasa,"Cerah, Berawan",Summer,27.5256,Normal
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Rabu,Berkabut,Summer,26.926450000000003,Normal
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Kamis,Berkabut,Summer,26.3579,Normal
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Jumat,Berkabut,Summer,25.537100000000002,Normal
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Sabtu,"Cerah, Berawan",Summer,26.4521,Normal
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Minggu,"Cerah, Berawan",Summer,28.59875,Normal
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Senin,"Cerah, Berawan",Summer,28.725,Normal
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Selasa,Berkabut,Summer,29.5148,Normal
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Rabu,Berkabut,Summer,30.240650000000002,Normal
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Kamis,"Cerah, Berawan",Summer,30.7771,Normal
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Jumat,"Cerah, Berawan",Summer,32.7344,Hangat
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Sabtu,"Cerah, Berawan",Summer,31.8504,Hangat
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Minggu,"Cerah, Berawan",Summer,30.61895,Normal
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Senin,"Cerah, Berawan",Summer,30.777500000000003,Normal
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Selasa,"Cerah, Berawan",Summer,33.5546,Hangat
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Rabu,"Cerah, Berawan",Summer,36.26915,Hangat
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Kamis,Berkabut,Summer,36.04835,Hangat
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Jumat,"Cerah, Berawan",Summer,32.1971,Hangat
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Sabtu,"Cerah, Berawan",Summer,29.356650000000002,Normal
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Minggu,"Cerah, Berawan",Summer,29.7348,Normal
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Senin,Berkabut,Summer,30.8402,Normal
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Selasa,"Cerah, Berawan",Summer,31.0929,Hangat
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Rabu,"Cerah, Berawan",Summer,32.7975,Hangat
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Kamis,"Cerah, Berawan",Summer,36.36395,Hangat
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Jumat,Berkabut,Summer,37.87895,Hangat
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Sabtu,"Cerah, Berawan",Summer,35.1646,Hangat
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Minggu,"Cerah, Berawan",Summer,33.901900000000005,Hangat
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Senin,"Cerah, Berawan",Summer,32.166250000000005,Hangat
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Selasa,"Cerah, Berawan",Summer,30.082700000000003,Normal
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Rabu,"Cerah, Berawan",Summer,29.5773,Normal
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Kamis,"Cerah, Berawan",Summer,29.3877,Normal
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Jumat,Berkabut,Summer,29.767300000000002,Normal
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Sabtu,"Cerah, Berawan",Summer,30.01915,Normal
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Minggu,"Cerah, Berawan",Summer,32.197700000000005,Hangat
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Senin,Berkabut,Summer,32.292300000000004,Hangat
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Selasa,Berkabut,Summer,29.767300000000002,Normal
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Rabu,Berkabut,Fall,31.8823,Hangat
